                            marked as young vs marked as adult

                 Real Function Parameters of {phi(age+time)p(t/t)} - DM}
                                                               95% Confidence Interval
     Parameter                Estimate       Standard Error     Lower           Upper
    63:Phi                    0.8044457       0.0557623       0.6725098       0.8917819       
    64:Phi                    0.8430007       0.0852639       0.6030140       0.9499513       
    65:Phi                    0.3823965       0.1013571       0.2107244       0.5894730       
    66:p                      0.1262407       0.0758343       0.0361897       0.3572985       
    67:p                      0.0828108       0.0445699       0.0277899       0.2219026       
    68:p                      0.1145643       0.0574929       0.0408628       0.2820993       
    69:p                      0.1155500       0.0510572       0.0467769       0.2580621       
    70:p                      0.1251603       0.0509120       0.0543829       0.2624829       
    71:p                      0.1565445       0.0561447       0.0746343       0.2992766       
    72:p                      0.1591344       0.0559857       0.0769351       0.3005607       
    73:p                      0.1452990       0.0512665       0.0703662       0.2763102       
    74:p                      0.2760895       0.0756575       0.1536975       0.4447281       
    75:p                      0.2081833       0.0582038       0.1162983       0.3443741       
    76:p                      0.2285787       0.0644004       0.1265076       0.3774204       
    77:p                      0.1231206       0.0387978       0.0649148       0.2211721       
    78:p                      0.1226483       0.0372452       0.0662363       0.2159918       
    79:p                      0.1370216       0.0409226       0.0745670       0.2383153       
    80:p                      0.1657569       0.0466701       0.0930033       0.2779806       
    81:p                      0.1604416       0.0504155       0.0840512       0.2846814       
    82:p                      0.1370902       0.0427864       0.0725220       0.2440202       
    83:p                      0.1227083       0.0402808       0.0629485       0.2255454       
    84:p                      0.3071894       0.0996640       0.1504410       0.5261167       
    85:p                      0.1644028       0.0666094       0.0706872       0.3372724       
    86:p                      0.4611696       0.5803406       0.0087223       0.9881305       
    87:p                      0.2858292       0.4387462       0.0058909       0.9643249       
    88:p                      0.6090326       0.1572863       0.2991303       0.8504249       
    89:p                      0.4932769       0.1334993       0.2546968       0.7349589       
    90:p                      0.5824693       0.1232594       0.3406363       0.7902274       
    91:p                      0.5848217       0.1066307       0.3732832       0.7691212       
    92:p                      0.6066892       0.0961387       0.4118639       0.7726084       
    93:p                      0.6667884       0.0814915       0.4937025       0.8041727       
    94:p                      0.6711032       0.0760139       0.5095449       0.8003005       
    95:p                      0.6470058       0.0757826       0.4888892       0.7783813       
    96:p                      0.8043834       0.0519097       0.6829407       0.8870062       
    97:p                      0.7392262       0.0543313       0.6199972       0.8312293       
    98:p                      0.7616065       0.0514792       0.6469773       0.8477725       
    99:p                      0.6022039       0.0606021       0.4797158       0.7131013       
   100:p                      0.6011538       0.0584145       0.4831967       0.7084336       
   101:p                      0.6312565       0.0576044       0.5131386       0.7354895       
   102:p                      0.6817573       0.0540853       0.5678946       0.7773782       
   103:p                      0.6732487       0.0624536       0.5415223       0.7823406       
   104:p                      0.6313914       0.0644447       0.4988666       0.7466672       
   105:p                      0.6012875       0.0675439       0.4647157       0.7237295       
   106:p                      0.8270081       0.0570038       0.6864593       0.9125776       
   107:p                      0.6796219       0.0897045       0.4861383       0.8262860       
   108:p                      0.9022278       0.2056507       0.0872944       0.9988781       
   109:p                      0.8118589       0.3271633       0.0608821       0.9965305       
